건축구분,대지위치,지목,대지면적,건축면적,연면적,허가일,착공처리일,사용승인일,최대지상층수,최대지하층수,주용도,부속용도,데이터기준일자
신축,서울특별시 은평구 불광동 281-10,대,122,70.56,472.31,2017-05-15,2017-07-19,,8,1,업무시설,오피스텔,2022-10-07
신축,서울특별시 은평구 신사동 237-231,대,105.8,56.78,133.54,2016-05-31,2016-08-11,,3,1,단독주택,,2022-10-07
신축,서울특별시 은평구 녹번동 29-43 외2필지,대,677.5,339.46,"1,717.40",2015-12-15,2015-12-22,,5,1,공동주택,도시형생활주택,2022-10-07
신축,서울특별시 은평구 갈현동 12-518,대,469,165.96,231.75,2015-12-03,2017-12-21,,2,0,단독주택,,2022-10-07
신축,서울특별시 은평구 진관동 3-⑥-5,대,303,140.58,363.44,2014-12-17,2014-12-22,,2,1,단독주택,,2022-10-07
신축,서울특별시 은평구 진관동 공공청사(산100-23일원택지개발지구내 2,대,483.7,188.01,366.12,2011-03-11,2011-05-26,,2,0,제1종근린생활시설,경찰관지구대,2022-10-07
신축,서울특별시 은평구 불광동 296 외1필지,대,376,223.4,913.36,2010-10-29,2011-02-08,,5,1,공동주택,다세대주택및근린생활시설,2022-10-07
신축,서울특별시 은평구 진관동 은평뉴타운 공공청사용지 공-5 블럭,대,"5,209.70","3,059.71","9,561.39",2010-07-26,2011-02-25,,4,2,업무시설,공공업무시설,2022-10-07
신축,서울특별시 은평구 대조동 74-107,대,238.9,140.33,711.61,2003-01-16,2003-01-24,,4,1,공동주택,다세대주택,2022-10-07
신축,서울특별시 은평구 수색동 121-3,대,573.25,335.36,"1,155.46",2002-04-12,2002-05-13,,5,,공동주택,다세대주택,2022-10-07
