건축구분,대지위치,지목,대지면적(㎡),건축면적(㎡),연면적(㎡),착공처리일,사용승인일,최대지상층수,최대지하층수,최고높이(m),동수,주용도,부속용도,
신축,서울특별시 마포구 동교동 175-4,대,183.5,96.3,708.94,2022-05-02,,7,1,23.7,1,제2종근린생활시설,사무실 소매점 휴게음식점,
신축,서울특별시 마포구 신공덕동 139-13,대,149,88.7475,295.1488,2022-03-22,,1,0,15.7,1,공동주택,다세대주택,
신축,서울특별시 마포구 마포동 293-46,대,760.8,335.68,1976.07,2022-05-31,,4,2,16.55,2,공동주택,도시형생활주택 (다세대주택),
신축,서울특별시 마포구 성산동 39-28,대,548,300.93,1226.06,2022-01-13,,5,1,14.6,1,공동주택,연립주택,
신축,서울특별시 마포구 서교동 343-12,대,592.1,345.01,2159.27,2022-03-07,,6,2,22.06,1,제1종근린생활시설,소매점,
신축,서울특별시 마포구 연남동 239-45,대,136.9,82.08,263.61,2022-05-18,,3,1,12.1,1,제1종근린생활시설,및 제2종근린생활시설,
신축,서울특별시 마포구 서교동 354-1 외2필지,대,1393.4,805.13,13273.71,2022-08-01,,12,6,64.8,1,업무시설,판매시설 근린생활시설,
신축,서울특별시 마포구 서교동 354-1 외2필지,대,1393.4,805.13,13273.71,2022-08-01,,12,6,64.8,1,업무시설,판매시설 근린생활시설,
신축,서울특별시 마포구 서교동 354-1 외2필지,대,1393.4,805.13,13273.71,2022-08-01,,12,6,64.8,1,업무시설,판매시설 근린생활시설,
신축,서울특별시 마포구 서교동 354-1 외2필지,대,1393.4,805.13,13273.71,2022-08-01,,12,6,64.8,1,업무시설,판매시설 근린생활시설,
신축,서울특별시 마포구 서교동 473-18,대,212.6,127.32,392.41,2022-02-09,,5,0,15,1,공동주택,다세대주택(도시형생활주택),
신축,서울특별시 마포구 서교동 326-11,대,184.8,103.7,412.88,2022-10-11,,5,1,19600.0,1,제2종근린생활시설,,
신축,서울특별시 마포구 망원동 394-101,대,135.87,76.48,326.99,2022-03-04,,4,1,16.05,1,제2종근린생활시설,,
신축,서울특별시 마포구 동교동 204-45,대,545.5,326.93,1378.13,2021-12-13,,5,1,19.6,1,제2종근린생활시설,,
신축,서울특별시 마포구 서교동 394-79,대,341.4,191.19,1125.25,2022-03-24,,5,2,19.5,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 상암동 2-90 외1필지,대,324.99,158.47,993.05,2021-12-22,,6,1,24.35,1,제2종근린생활시설,일반음식점,
신축,서울특별시 마포구 합정동 362-12,대,429.4,214.46,1313.04,2022-06-16,,6,1,22,1,제2종근린생활시설,,
신축,서울특별시 마포구 서교동 333-45,대,187.76,111.8,497.48,2021-12-02,,5,1,17.15,1,제2종근린생활시설,사무실,
신축,서울특별시 마포구 서교동 481-6,대,198.3,115.14,538.61,2022-04-01,,5,1,14.5,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 성산동 232-1 외2필지,대,1045.42,339.61,3632.25,2021-10-25,,14,1,43.9,2,업무시설,오피스텔,
신축,서울특별시 마포구 상수동 93-91,대,188,109.62,466.08,2022-02-18,,4,1,11.8,1,제2종근린생활시설,,
신축,서울특별시 마포구 창전동 2-23 외2필지,대,254,126.93,703.18,2022-01-03,,5,1,18.2,1,제2종근린생활시설,,
신축,서울특별시 마포구 창전동 2-24 외1필지,대,188,92.82,467.45,2022-01-03,,5,1,19.8,1,제2종근린생활시설,사무소,
대수선,서울특별시 마포구 용강동 512,대,844.2,475.27,3631.48,2021-11-02,,6,2,22,1,제2종근린생활시설,,
신축,서울특별시 마포구 성산동 628-6,대,423,251.28,999.89,2022-01-21,,5,1,19.66,1,제2종근린생활시설,(사무소),
